t0,t1,t2,t3,t4,t5,t6
160.5033416748047,140.01808166503906,148.1364288330078,139.09622192382812,143.02406311035156,141.80645751953125,143.4434814453125
167.28872680664062,133.48971557617188,141.2718048095703,129.71377563476562,129.71377563476562,141.5142364501953,129.51583862304688
168.74673461914062,130.49591064453125,141.27662658691406,131.3956298828125,139.38925170898438,136.26446533203125,135.3245849609375
157.1362762451172,138.28211975097656,143.431640625,139.99215698242188,146.0333709716797,141.5738525390625,145.81832885742188
182.12498474121094,146.69398498535156,151.4447021484375,142.23468017578125,151.5660858154297,150.394287109375,148.12533569335938
163.10646057128906,141.1074981689453,147.25437927246094,141.82827758789062,149.46145629882812,141.94703674316406,145.28460693359375
159.370849609375,139.1703338623047,142.31712341308594,138.41563415527344,138.00257873535156,136.15658569335938,139.14083862304688
135.4274444580078,144.30404663085938,145.26332092285156,147.4870147705078,148.6731719970703,145.70068359375,136.3721160888672
128.65818786621094,126.84735107421875,134.50042724609375,139.28782653808594,138.8909912109375,138.0462646484375,130.2722625732422
135.9897918701172,132.3008270263672,143.19952392578125,142.13809204101562,137.49253845214844,138.46165466308594,137.2825927734375
135.5473175048828,140.88552856445312,141.16552734375,139.40370178222656,135.99485778808594,138.2344207763672,137.51943969726562
134.00433349609375,137.43093872070312,141.81234741210938,143.00074768066406,141.1540985107422,140.06431579589844,134.6712188720703
142.3642578125,141.73806762695312,146.4642333984375,145.5041961669922,143.03236389160156,147.65985107421875,137.81509399414062
128.86846923828125,132.47811889648438,135.04449462890625,133.5758819580078,134.2266082763672,137.34796142578125,130.30702209472656
133.0474395751953,131.28662109375,136.255615234375,136.8984375,140.3784942626953,133.82688903808594,134.30624389648438
128.1849365234375,128.9175567626953,126.92610168457031,130.94276428222656,133.04087829589844,131.6038055419922,142.73211669921875
134.29107666015625,132.56625366210938,131.1210479736328,133.68807983398438,133.59024047851562,136.0630340576172,144.33599853515625
136.6333465576172,136.7495880126953,135.74676513671875,138.6107635498047,138.0300750732422,139.5023956298828,138.68746948242188
137.89112854003906,137.7921142578125,141.0697784423828,142.82704162597656,143.1958770751953,141.3133544921875,140.49447631835938
106.7415771484375,102.7391357421875,107.19477844238281,108.42950439453125,111.18557739257812,126.07704162597656,131.47959899902344
122.38311767578125,116.88333129882812,116.29554748535156,121.36495971679688,123.13168334960938,128.56629943847656,128.61380004882812
120.037109375,127.20562744140625,125.28279113769531,117.93006896972656,120.81938171386719,121.23887634277344,128.49557495117188
119.66934204101562,121.42300415039062,121.72459411621094,118.69425964355469,122.83949279785156,116.85960388183594,118.45729064941406
124.93939208984375,125.82536315917969,128.1795196533203,124.41867065429688,125.45307922363281,121.551513671875,121.94123840332031
119.84599304199219,117.52665710449219,125.82003784179688,119.37289428710938,129.90431213378906,130.47731018066406,124.02897644042969
